fold,drug_index,model,macro_AP,nDCG@10,rare_AP,middle_AP,frequent_AP
9,269,Drug-stratum gate,0.4862899490504863,0.645449205636615,0.038461538461538464,,0.5788235294117647
9,270,CAFNet,0.22084760822473357,0.3229501751883214,,0.009615384615384616,0.2470213278091886
9,270,CAFNet-D,0.29278645811800813,0.3567480358963706,,0.015873015873015872,0.3260661813119627
9,270,CAFNet-DG,0.2779990778948235,0.3567480358963706,,0.01639344262295082,0.30929804238627767
9,270,Group-only,0.2703852644668586,0.3567480358963706,,0.07142857142857142,0.298384453453051
9,270,Global gate,0.3608260194160952,0.46706769398382797,,0.023809523809523808,0.4022041062801932
9,270,Drug gate,0.38908622397027554,0.4845713881969346,,0.006711409395973154,0.43555854042809844
9,270,Drug-stratum gate,0.2314988427569312,0.33325075278164273,,0.01818181818181818,0.2570271071924567
9,276,CAFNet,0.22901494479370696,0.34051969290975714,,,0.23375729232203504
9,276,CAFNet-D,0.4705938228184957,0.5107164012496702,,,0.4722208834050939
9,276,CAFNet-DG,0.42687003409741997,0.5107164012496702,,,0.4286740157089832
9,276,Group-only,0.372693981920425,0.39956887138389763,,,0.3731993727560045
9,276,Global gate,0.5988660748722668,0.7479350596733328,,,0.6024180438086778
9,276,Drug gate,0.2275766504047283,0.3469511918686966,,,0.23069413243202933
9,276,Drug-stratum gate,0.25146552019388796,0.2876263497141272,,,0.2521163226403586
9,303,CAFNet,0.2684457378546475,0.3567480358963706,,,0.2708947364140601
9,303,CAFNet-D,0.20461079050411984,0.26919108962472693,,,0.20610070899040586
9,303,CAFNet-DG,0.2228419468405228,0.2867993217977167,,,0.223806517989128
9,303,Group-only,0.16700177360501353,0.20124768870643622,,,0.16857389254619695
9,303,Global gate,0.17388692281954013,0.192156638831279,,,0.17797025034499295
9,303,Drug gate,0.18739068840763756,0.24613298421845528,,,0.18772173031762682
9,303,Drug-stratum gate,0.2204781073632123,0.3007943623267188,,,0.22117101610565665
9,308,CAFNet,0.16761089255292774,0.1585070397409811,,0.004545454545454545,0.18280908640887403
9,308,CAFNet-D,0.28828370298279266,0.3882251478215036,,0.016666666666666666,0.3091830775724785
