drug_local_idx,model,group,AP,nDCG@10,P@15,R@15
82,debias pop0.02 no-res,frequent,0.3502521822187891,0.6429235234036081,0.4666666666666667,0.28
83,debias pop0.02 no-res,rare,0.0029069767441860465,0.0,0.0,0.0
83,debias pop0.02 no-res,middle,0.046179949355882335,0.0,0.0,0.0
83,debias pop0.02 no-res,frequent,0.5382805131107338,0.5857421563596759,0.2,0.42857142857142855
84,debias pop0.02 no-res,rare,,,,
84,debias pop0.02 no-res,middle,0.010242005577904674,0.0,0.0,0.0
84,debias pop0.02 no-res,frequent,0.41685582903598356,0.6687607038361473,0.5333333333333333,0.42105263157894735
85,debias pop0.02 no-res,rare,0.024073041334456716,0.0,0.0,0.0
85,debias pop0.02 no-res,middle,0.05531370013003323,0.0,0.0,0.0
85,debias pop0.02 no-res,frequent,0.22343245926493954,0.21501812929496178,0.3333333333333333,0.15625
86,debias pop0.02 no-res,rare,0.05555555555555555,0.0,0.0,0.0
86,debias pop0.02 no-res,middle,,,,
86,debias pop0.02 no-res,frequent,0.5532854284329672,0.5795003533950693,0.5333333333333333,0.32
87,debias pop0.02 no-res,rare,0.0181958193574428,0.0,0.0,0.0
87,debias pop0.02 no-res,middle,0.0236835411457948,0.0,0.0,0.0
87,debias pop0.02 no-res,frequent,0.6468976350144888,0.9052116356304495,0.8,0.3
88,debias pop0.02 no-res,rare,0.10238095238095238,0.11284514134893527,0.06666666666666667,0.25
88,debias pop0.02 no-res,middle,0.03966168448826268,0.0,0.0,0.0
88,debias pop0.02 no-res,frequent,0.17183327425262906,0.30411705878024947,0.2,0.5
89,debias pop0.02 no-res,rare,,,,
89,debias pop0.02 no-res,middle,,,,
89,debias pop0.02 no-res,frequent,0.3004511732229123,0.3316936730892072,0.26666666666666666,0.3333333333333333
90,debias pop0.02 no-res,rare,0.012602007655087746,0.0,0.0,0.0
90,debias pop0.02 no-res,middle,0.07919254658385093,0.0,0.06666666666666667,0.5
90,debias pop0.02 no-res,frequent,0.7388545545048065,0.7819835854675756,0.8,0.3333333333333333
91,debias pop0.02 no-res,rare,0.038938379925582786,0.09803928583135704,0.06666666666666667,0.2
91,debias pop0.02 no-res,middle,0.02486886888167778,0.0,0.0,0.0
91,debias pop0.02 no-res,frequent,0.5719808885056932,0.8006937664098821,0.7333333333333333,0.2894736842105263
92,debias pop0.02 no-res,rare,,,,
92,debias pop0.02 no-res,middle,0.05437820303777609,0.0,0.0,0.0
92,debias pop0.02 no-res,frequent,0.6590071599344048,1.0,0.9333333333333333,0.2641509433962264
93,debias pop0.02 no-res,rare,0.022447851124691116,0.0,0.0,0.0
93,debias pop0.02 no-res,middle,0.022852389594676347,0.0,0.0,0.0
93,debias pop0.02 no-res,frequent,0.47327506162846184,0.7534494445524139,0.6666666666666666,0.23809523809523808
94,debias pop0.02 no-res,rare,,,,
94,debias pop0.02 no-res,middle,,,,
94,debias pop0.02 no-res,frequent,0.5558824905962869,0.6906478832608419,0.6,0.4090909090909091
95,debias pop0.02 no-res,rare,,,,
95,debias pop0.02 no-res,middle,,,,
95,debias pop0.02 no-res,frequent,0.14455103850050657,0.23386470445736623,0.13333333333333333,0.4
96,debias pop0.02 no-res,rare,0.014043774563882814,0.0,0.0,0.0
96,debias pop0.02 no-res,middle,0.03676276032864591,0.0,0.06666666666666667,0.125
96,debias pop0.02 no-res,frequent,0.7548882195050131,1.0,0.9333333333333333,0.2978723404255319
97,debias pop0.02 no-res,rare,0.022252872703789464,0.0,0.0,0.0
97,debias pop0.02 no-res,middle,0.3113473669364259,0.36288691033421755,0.26666666666666666,0.06896551724137931
97,debias pop0.02 no-res,frequent,0.6061622552966526,0.8669479898642711,0.6666666666666666,0.10416666666666667
98,debias pop0.02 no-res,rare,0.04573126737792606,0.0,0.06666666666666667,0.1
98,debias pop0.02 no-res,middle,0.13372223234667274,0.0,0.0,0.0
98,debias pop0.02 no-res,frequent,0.7195249320651462,1.0,0.9333333333333333,0.15053763440860216
99,debias pop0.02 no-res,rare,0.034355179704016914,0.0,0.0,0.0
99,debias pop0.02 no-res,middle,0.04511097368240226,0.0,0.0,0.0
99,debias pop0.02 no-res,frequent,0.5973244835973663,0.5806020001118019,0.6666666666666666,0.4166666666666667
100,debias pop0.02 no-res,rare,0.014891109787249727,0.0,0.0,0.0
100,debias pop0.02 no-res,middle,0.1266618398552695,0.13886244387355456,0.13333333333333333,0.2
100,debias pop0.02 no-res,frequent,0.6559494103655616,1.0,0.8666666666666667,0.2826086956521739
101,debias pop0.02 no-res,rare,0.08037165270958915,0.13120507751234178,0.06666666666666667,0.2
101,debias pop0.02 no-res,middle,0.06459766598528197,0.07945707943276742,0.06666666666666667,0.14285714285714285
101,debias pop0.02 no-res,frequent,0.4763117174452082,0.6274092458891773,0.4666666666666667,0.23333333333333334
102,debias pop0.02 no-res,rare,0.021739130434782608,0.0,0.0,0.0
102,debias pop0.02 no-res,middle,0.034019040249156904,0.0,0.0,0.0
102,debias pop0.02 no-res,frequent,0.5517452248317851,0.7975167679274939,0.7333333333333333,0.4074074074074074
103,debias pop0.02 no-res,rare,0.01639344262295082,0.0,0.0,0.0
103,debias pop0.02 no-res,middle,0.023943230151757235,0.0,0.0,0.0
103,debias pop0.02 no-res,frequent,0.574714688732378,0.77990823370192,0.8666666666666667,0.29545454545454547
104,debias pop0.02 no-res,rare,,,,
104,debias pop0.02 no-res,middle,,,,
